"","new_id","gameId","season","week","homeTeamAbbr","visitorTeamAbbr","playResult","passC","passI","passIN","passR","passS","opp_playResult","opp_passC","opp_passI","opp_passIN","opp_passR","opp_passS","home.hurried","home.hit","home.sacked","home.hitAllowed","home.hurryAllowed","home.sackallowed","opp.hurried","opp.hit","opp.sacked","opp.hitAllowed","opp.hurryAllowed","opp.sackallowed","Home_Win"
"15","1_TEN_1_ARI",2021091207,2021,1,"TEN","ARI",133,19,12,1,2,5,210,14,10,1,1,2,9,4,5,3,8,5,8,2,2,1,1,0,0
"16","1_WAS_1_LAC",2021091208,2021,1,"WAS","LAC",188,12,7,0,4,1,272,30,14,1,0,2,7,4,1,4,5,1,4,2,2,2,3,2,0
"17","2_ARI_2_MIN",2021091909,2021,2,"ARI","MIN",337,21,5,2,2,3,219,14,10,0,2,0,16,0,3,0,8,3,4,4,0,3,3,0,1
"18","2_BAL_2_KC",2021091913,2021,2,"BAL","KC",216,17,7,2,1,2,286,19,6,1,1,0,7,0,2,0,5,1,4,3,0,0,2,0,1
"19","2_CAR_2_NO",2021091900,2021,2,"CAR","NO",325,24,10,1,1,2,91,10,8,2,3,4,8,2,2,1,5,1,12,6,5,2,8,3,1
"20","2_CHI_2_CIN",2021091901,2021,2,"CHI","CIN",167,15,9,1,5,3,195,18,7,3,0,4,8,2,4,0,4,1,6,5,4,4,6,2,1
"21","2_CLE_2_HOU",2021091902,2021,2,"CLE","HOU",124,14,1,1,5,2,200,13,12,1,2,1,4,0,2,0,2,2,11,1,1,1,9,0,1
"22","2_GB_2_DET",2021092000,2021,2,"GB","DET",211,13,6,0,2,3,263,24,9,1,2,0,8,1,3,1,6,2,12,6,0,5,11,0,1
"23","2_IND_2_LA",2021091903,2021,2,"IND","LA",209,16,11,1,5,3,217,16,9,1,1,1,13,7,4,3,11,2,1,2,1,1,1,1,0
"24","2_JAX_2_DEN",2021091904,2021,2,"JAX","DEN",159,11,18,1,2,1,322,23,10,0,1,3,10,2,1,2,8,1,12,5,3,4,6,2,0
"25","2_LAC_2_DAL",2021091911,2021,2,"LAC","DAL",271,27,8,3,2,2,157,19,5,1,0,2,15,5,2,4,14,0,9,3,3,3,6,2,0
"26","2_MIA_2_BUF",2021091905,2021,2,"MIA","BUF",125,20,14,1,3,6,160,12,14,1,3,1,35,6,6,6,32,0,14,6,2,2,10,1,0
"27","2_NYJ_2_NE",2021091906,2021,2,"NYJ","NE",184,17,13,4,2,4,64,14,8,0,0,3,19,5,4,3,15,2,8,0,3,0,7,2,0
"28","2_PHI_2_SF",2021091907,2021,2,"PHI","SF",264,9,11,0,5,2,177,16,6,0,3,0,16,1,2,1,11,1,4,2,0,2,4,0,0
"29","2_PIT_2_LV",2021091908,2021,2,"PIT","LV",263,21,10,1,0,2,381,28,9,0,1,2,8,6,2,3,7,1,9,2,2,2,7,2,0
"30","2_SEA_2_TEN",2021091912,2021,2,"SEA","TEN",311,17,10,0,2,3,378,25,14,0,2,3,13,3,4,1,6,1,8,8,3,3,8,3,0
"31","2_TB_2_ATL",2021091910,2021,2,"TB","ATL",244,19,13,0,1,3,296,32,12,3,1,1,4,2,3,1,3,2,15,7,1,3,13,1,1
"32","2_WAS_2_NYG",2021091600,2021,2,"WAS","NYG",293,28,10,1,3,1,254,20,11,0,2,4,13,2,1,0,10,0,20,4,4,3,18,2,1
"33","3_BUF_3_WAS",2021092600,2021,3,"BUF","WAS",356,27,13,0,3,0,144,13,9,3,5,1,21,8,0,4,19,0,11,2,1,0,5,0,1
"34","3_CLE_3_CHI",2021092601,2021,3,"CLE","CHI",189,15,12,0,4,5,-6,4,12,1,1,9,14,1,7,1,7,3,6,4,11,1,7,5,1
"35","3_DAL_3_PHI",2021092700,2021,3,"DAL","PHI",209,17,5,0,2,4,188,16,11,2,6,2,5,2,4,2,3,0,22,2,3,1,16,1,1
"36","3_DEN_3_NYJ",2021092609,2021,3,"DEN","NYJ",269,17,6,0,2,1,116,16,13,2,0,5,8,2,2,2,5,2,13,4,5,3,12,3,1
"37","3_DET_3_BAL",2021092602,2021,3,"DET","BAL",192,18,9,0,1,2,304,16,12,1,5,4,9,4,2,1,7,1,19,2,4,0,16,1,0
"38","3_HOU_3_CAR",2021092300,2021,3,"HOU","CAR",180,17,11,0,0,4,304,21,11,0,2,2,12,6,5,3,9,0,20,4,2,2,15,2,0
"39","3_JAX_3_ARI",2021092603,2021,3,"JAX","ARI",187,21,6,1,2,2,265,20,5,1,4,0,11,7,2,4,8,2,9,1,0,1,8,0,0
"40","3_KC_3_LAC",2021092604,2021,3,"KC","LAC",197,17,15,2,5,1,232,25,13,0,2,1,16,5,2,1,11,1,9,6,1,4,7,1,0
"41","3_LA_3_TB",2021092611,2021,3,"LA","TB",281,18,11,0,0,1,332,33,13,0,2,3,9,4,1,3,8,1,20,2,3,2,16,3,1
"42","3_LV_3_MIA",2021092610,2021,3,"LV","MIA",353,25,16,0,0,3,265,28,18,0,5,2,8,6,3,6,6,2,26,4,3,4,19,3,1
"43","3_MIN_3_SEA",2021092612,2021,3,"MIN","SEA",264,23,7,0,0,1,273,17,9,0,3,2,9,2,2,1,6,2,12,6,2,4,8,2,1
"44","3_NE_3_NO",2021092605,2021,3,"NE","NO",288,28,17,3,3,2,97,11,7,0,3,3,17,9,2,3,13,2,11,2,4,1,7,4,0
"45","3_NYG_3_ATL",2021092606,2021,3,"NYG","ATL",249,20,10,0,5,2,210,25,11,0,0,3,11,2,2,0,8,2,9,3,3,1,7,2,0
"46","3_PIT_3_CIN",2021092607,2021,3,"PIT","CIN",299,32,17,2,0,4,158,14,4,1,2,0,9,4,4,4,7,1,9,1,0,1,6,0,0
"47","3_SF_3_GB",2021092613,2021,3,"SF","GB",275,21,16,1,0,4,281,14,11,0,1,1,15,6,6,3,10,2,6,1,1,0,6,1,0
"48","3_TEN_3_IND",2021092608,2021,3,"TEN","IND",189,15,7,2,2,1,132,13,17,0,0,3,11,2,1,2,8,1,17,7,4,7,14,4,1
"49","4_ATL_4_WAS",2021100300,2021,4,"ATL","WAS",329,23,17,0,1,2,310,17,12,0,5,1,8,3,2,2,7,1,11,2,1,1,8,0,0
"50","4_BUF_4_HOU",2021100301,2021,4,"BUF","HOU",210,14,7,1,2,1,14,8,7,2,2,3,8,3,1,1,7,1,10,1,2,0,8,1,1
"51","4_CHI_4_DET",2021100302,2021,4,"CHI","DET",187,10,5,1,1,1,253,20,17,0,1,4,2,3,1,1,1,1,21,3,4,3,19,4,1
"52","4_CIN_4_JAX",2021093000,2021,4,"CIN","JAX",285,20,6,0,0,2,191,14,7,0,2,2,11,0,2,0,7,1,14,0,2,0,8,1,1
"53","4_DAL_4_CAR",2021100303,2021,4,"DAL","CAR",188,12,10,0,1,0,289,23,13,2,2,5,5,2,0,0,5,0,11,4,6,3,9,4,1
"54","4_DEN_4_BAL",2021100311,2021,4,"DEN","BAL",141,17,16,1,1,5,267,20,15,0,1,3,15,7,5,6,11,4,11,4,4,4,5,2,0
"55","4_GB_4_PIT",2021100312,2021,4,"GB","PIT",189,14,16,0,1,3,162,19,13,1,0,2,7,5,2,3,6,1,3,3,2,3,3,2,1
"56","4_LA_4_ARI",2021100309,2021,4,"LA","ARI",265,20,17,2,2,0,232,18,9,0,4,4,11,6,0,5,10,0,14,0,4,0,9,2,0
"57","4_LAC_4_LV",2021100400,2021,4,"LAC","LV",211,22,11,0,1,1,236,19,12,1,2,4,9,5,1,4,8,1,15,3,4,2,15,2,1
"58","4_MIA_4_IND",2021100304,2021,4,"MIA","IND",202,20,10,0,2,3,212,20,7,0,0,3,18,0,3,0,12,2,13,5,5,4,11,3,0
"59","4_MIN_4_CLE",2021100305,2021,4,"MIN","CLE",165,18,17,2,1,2,89,12,18,0,2,3,21,10,3,9,21,2,22,0,3,0,18,0,0
"60","4_NE_4_TB",2021100313,2021,4,"NE","TB",270,28,11,1,0,4,228,18,22,0,1,1,10,7,4,5,6,4,9,2,1,1,7,1,0
"61","4_NO_4_NYG",2021100306,2021,4,"NO","NYG",193,16,6,1,0,0,320,23,11,1,3,0,10,0,0,0,7,0,8,6,0,4,5,0,0
"62","4_NYJ_4_TEN",2021100307,2021,4,"NYJ","TEN",313,16,12,1,1,1,231,27,20,0,1,7,16,0,1,0,8,1,22,8,9,7,20,7,1
"63","4_PHI_4_KC",2021100308,2021,4,"PHI","KC",252,25,14,0,5,3,207,15,3,1,4,2,30,3,4,2,19,0,6,3,2,2,3,2,0
"64","4_SF_4_SEA",2021100310,2021,4,"SF","SEA",308,18,16,0,6,2,168,10,9,0,2,2,16,4,2,3,10,0,4,3,2,2,3,2,0
"65","5_ARI_5_SF",2021101011,2021,5,"ARI","SF",149,13,9,0,0,2,228,14,13,1,5,2,7,1,2,0,7,1,9,6,1,4,6,1,1
"66","5_ATL_5_NYJ",2021101000,2021,5,"ATL","NYJ",354,30,13,0,0,0,205,18,12,1,1,2,14,7,0,4,9,0,15,2,2,3,10,0,1
"67","5_BAL_5_IND",2021101100,2021,5,"BAL","IND",468,36,6,0,6,2,287,17,9,0,1,3,11,3,3,2,7,2,4,6,3,4,4,1,1
"68","5_CAR_5_PHI",2021101001,2021,5,"CAR","PHI",130,16,13,3,2,3,155,16,13,1,1,2,21,5,3,2,20,3,13,2,2,2,8,1,0
"69","5_CIN_5_GB",2021101002,2021,5,"CIN","GB",250,24,10,2,2,3,308,20,9,1,0,2,13,3,4,2,10,2,11,3,2,2,5,2,0
"70","5_DAL_5_NYG",2021101012,2021,5,"DAL","NYG",296,20,10,1,1,2,253,16,14,2,2,0,8,3,3,1,4,1,19,6,0,5,12,0,1
"71","5_HOU_5_NE",2021101003,2021,5,"HOU","NE",230,13,10,0,1,3,245,18,7,1,0,1,6,2,3,1,5,2,6,3,1,3,6,1,0
"72","5_JAX_5_TEN",2021101004,2021,5,"JAX","TEN",180,19,12,2,3,2,191,12,9,0,1,3,14,3,2,3,8,0,5,5,5,4,4,2,0
"73","5_KC_5_BUF",2021101013,2021,5,"KC","BUF",353,29,22,1,7,1,267,10,10,1,3,0,21,7,1,3,14,0,10,2,0,1,6,0,0
"74","5_LAC_5_CLE",2021101009,2021,5,"LAC","CLE",360,16,17,0,3,2,255,18,9,0,3,1,8,5,2,2,6,2,8,0,1,0,4,1,1
"75","5_LV_5_CHI",2021101010,2021,5,"LV","CHI",77,13,10,1,2,3,131,12,9,0,0,2,17,0,3,0,12,3,1,5,2,3,1,1,0
"76","5_MIN_5_DET",2021101005,2021,5,"MIN","DET",268,22,7,0,1,2,179,19,14,0,0,4,10,0,2,0,7,2,12,3,4,2,9,4,1
"77","5_PIT_5_DEN",2021101006,2021,5,"PIT","DEN",199,12,11,0,0,1,251,22,12,1,1,3,7,1,1,1,5,0,10,2,3,2,6,2,1
"78","5_SEA_5_LA",2021100700,2021,5,"SEA","LA",323,20,13,2,3,2,327,20,9,1,0,1,24,4,2,2,17,0,10,2,1,1,7,1,0
"79","5_TB_5_MIA",2021101007,2021,5,"TB","MIA",370,24,11,0,1,2,212,22,12,1,0,3,4,4,2,4,1,2,20,1,3,0,11,3,1
"80","5_WAS_5_NO",2021101008,2021,5,"WAS","NO",290,18,22,2,5,2,274,12,14,1,2,2,12,6,2,6,9,1,19,5,2,6,14,2,0
"81","6_BAL_6_LAC",2021101701,2021,6,"BAL","LAC",131,14,6,2,3,3,121,16,15,1,1,2,9,3,3,0,6,2,9,2,2,0,4,2,1
"82","6_CAR_6_MIN",2021101702,2021,6,"CAR","MIN",216,12,23,1,4,5,310,23,16,0,1,0,20,0,6,0,12,4,6,4,0,4,5,0,0
"83","6_CHI_6_GB",2021101703,2021,6,"CHI","GB",180,12,10,1,5,4,168,13,7,0,2,3,18,1,4,0,12,2,8,1,3,1,7,3,0
"84","6_CLE_6_ARI",2021101708,2021,6,"CLE","ARI",202,16,10,1,3,5,219,15,12,0,0,2,15,1,5,1,12,0,12,2,2,1,9,2,0
"85","6_DEN_6_LV",2021101709,2021,6,"DEN","LV",306,35,12,3,2,5,308,16,9,0,0,1,19,8,9,4,13,6,8,4,1,3,5,0,0
"86","6_DET_6_CIN",2021101704,2021,6,"DET","CIN",183,27,12,1,1,1,287,21,9,1,5,2,12,4,1,3,7,1,8,2,2,1,6,1,0
"87","6_IND_6_HOU",2021101705,2021,6,"IND","HOU",187,8,6,0,1,2,203,22,12,2,1,2,4,3,2,3,3,1,14,3,2,1,11,2,1
"88","6_JAX_6_MIA",2021101700,2021,6,"JAX","MIA",307,24,17,0,1,1,305,28,11,1,3,0,19,5,1,1,9,1,19,4,0,3,17,0,1
"89","6_NE_6_DAL",2021101710,2021,6,"NE","DAL",202,16,4,1,0,2,417,35,13,1,1,0,4,3,2,3,4,2,15,5,0,4,9,0,0
"90","6_NYG_6_LA",2021101706,2021,6,"NYG","LA",184,24,17,3,1,3,202,18,6,2,2,2,18,3,4,2,13,4,4,1,3,0,4,2,0
"91","6_PHI_6_TB",2021101400,2021,6,"PHI","TB",212,10,15,1,5,1,245,23,7,1,0,0,20,5,1,1,11,1,7,2,0,2,6,0,0
"92","6_PIT_6_SEA",2021101711,2021,6,"PIT","SEA",196,25,10,0,0,0,140,15,7,0,0,5,7,2,0,1,7,0,7,2,6,1,6,3,1
"93","6_TEN_6_BUF",2021101800,2021,6,"TEN","BUF",190,15,9,1,0,0,349,27,11,1,4,3,9,2,0,2,5,0,15,5,4,3,7,1,1
"94","6_WAS_6_KC",2021101707,2021,6,"WAS","KC",175,19,14,1,0,0,392,28,13,2,3,3,12,5,0,1,5,0,15,6,4,3,11,2,0
"95","7_ARI_7_HOU",2021102408,2021,7,"ARI","HOU",207,12,6,1,2,5,99,18,11,0,1,3,15,0,5,0,4,3,8,3,3,3,7,2,1
"96","7_BAL_7_CIN",2021102400,2021,7,"BAL","CIN",282,17,22,0,7,5,423,22,13,1,0,1,27,1,6,1,16,1,14,5,1,4,9,1,0
"97","7_CLE_7_DEN",2021102100,2021,7,"CLE","DEN",132,15,11,0,2,1,162,18,10,1,0,2,12,4,1,3,10,1,13,2,3,1,6,2,1
"98","7_GB_7_WAS",2021102401,2021,7,"GB","WAS",227,20,7,0,2,3,301,22,11,1,5,4,8,1,3,0,5,3,20,3,5,2,18,3,1
"99","7_LA_7_DET",2021102406,2021,7,"LA","DET",350,23,16,0,0,1,176,18,9,2,1,2,9,1,1,0,5,1,10,2,2,1,9,0,1
"100","7_LV_7_PHI",2021102407,2021,7,"LV","PHI",254,25,1,1,1,0,247,18,13,0,4,2,11,3,0,3,10,0,16,6,2,4,10,2,1
"101","7_MIA_7_ATL",2021102402,2021,7,"MIA","ATL",244,26,3,2,4,1,327,24,12,1,0,1,11,2,1,2,10,1,10,7,1,3,9,0,0
"102","7_NE_7_NYJ",2021102403,2021,7,"NE","NYJ",266,19,12,0,2,1,255,23,17,2,0,2,4,1,1,1,3,0,8,6,2,1,5,1,1
"103","7_NYG_7_CAR",2021102404,2021,7,"NYG","CAR",160,19,11,0,1,2,93,15,19,1,1,5,10,3,2,3,3,2,19,4,5,3,16,3,1
"104","7_SEA_7_NO",2021102500,2021,7,"SEA","NO",166,11,10,0,1,5,197,17,15,0,4,2,12,3,5,2,11,2,10,1,4,1,7,2,0
"105","7_SF_7_IND",2021102410,2021,7,"SF","IND",153,16,8,2,0,2,205,10,12,0,1,1,7,4,2,2,6,1,7,3,1,2,7,0,0
"106","7_TB_7_CHI",2021102409,2021,7,"TB","CHI",210,15,16,0,0,0,136,17,8,3,6,4,6,1,0,1,4,0,15,2,4,1,10,3,1
"107","7_TEN_7_KC",2021102405,2021,7,"TEN","KC",245,17,6,1,2,1,266,28,19,2,6,4,6,4,1,4,3,1,12,6,4,4,7,4,1
"108","8_ARI_8_GB",2021102800,2021,8,"ARI","GB",234,16,10,1,1,2,112,10,12,0,1,1,15,2,2,2,9,2,10,2,1,1,7,0,0
"109","8_ATL_8_CAR",2021103100,2021,8,"ATL","CAR",182,19,8,2,1,3,159,9,9,0,4,0,6,8,4,6,5,4,8,2,0,1,5,0,0
"110","8_BUF_8_MIA",2021103101,2021,8,"BUF","MIA",207,16,12,0,2,0,171,20,16,1,1,3,13,5,0,2,5,0,18,7,3,4,13,3,1
"111","8_CHI_8_SF",2021103102,2021,8,"CHI","SF",282,18,8,1,8,3,232,15,9,0,1,0,20,1,4,1,12,2,8,0,0,0,4,0,0
"112","8_CLE_8_PIT",2021103103,2021,8,"CLE","PIT",195,16,10,0,1,4,152,15,12,0,0,2,8,3,4,1,8,1,5,3,2,3,4,3,0
"113","8_DEN_8_WAS",2021103110,2021,8,"DEN","WAS",215,18,5,0,0,3,210,20,11,2,1,5,6,4,3,2,5,2,16,2,6,1,10,5,1
"114","8_DET_8_PHI",2021103104,2021,8,"DET","PHI",127,25,10,0,1,6,126,5,5,0,3,0,11,6,6,5,9,3,7,0,0,0,4,0,0
"115","8_HOU_8_LA",2021103105,2021,8,"HOU","LA",251,24,7,2,0,4,227,17,11,0,0,1,13,3,6,1,13,4,2,2,1,2,0,1,0
"116","8_IND_8_TEN",2021103106,2021,8,"IND","TEN",289,20,25,1,1,2,221,21,9,2,0,3,14,5,3,3,10,2,11,3,4,1,9,2,0
"117","8_KC_8_NYG",2021110100,2021,8,"KC","NYG",175,19,17,2,2,2,189,17,9,1,3,2,17,3,2,2,10,0,12,3,2,2,8,2,1
"118","8_LAC_8_NE",2021103108,2021,8,"LAC","NE",211,18,12,2,1,3,244,19,17,0,2,1,13,4,4,3,12,2,5,3,1,3,2,1,0
"119","8_MIN_8_DAL",2021103112,2021,8,"MIN","DAL",196,19,14,0,2,1,292,23,18,1,1,3,14,7,1,4,12,1,7,2,3,2,7,3,0
"120","8_NO_8_TB",2021103111,2021,8,"NO","TB",254,17,16,1,5,1,303,22,9,2,0,3,12,8,1,3,6,0,7,0,3,0,6,3,1
"121","8_NYJ_8_CIN",2021103107,2021,8,"NYJ","CIN",340,31,10,1,0,2,215,19,12,0,0,3,17,5,3,3,13,0,6,4,3,2,4,3,1
"122","8_SEA_8_JAX",2021103109,2021,8,"SEA","JAX",148,17,6,1,1,3,168,23,19,1,1,2,12,3,3,2,6,3,21,6,2,4,14,1,1
